Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
136,16069,"Mayfield, Baker",TB,QB,137.84,70,202,,116,,
137,17009,"Murray, Kyler",MIN,QB,142.06,65,203,,116,,
138,16075,"Andrews, Mark",BAL,TE,142.35,114,174,,115,,
139,22934,"Boston, Denzel",CLE,WR,143.42,98,204,,113,,
140,17997,"Love, Jordan",GB,QB,145.32,75,218,,116,,
141,2964,"Cowboys, Dallas",DAL,TK,145.40,99,185,,115,,
142,18582,"Johnson, Juwan",NO,TE,146.59,120,184,,115,,
143,4343,"Texans, Houston",HOU,TDSP,146.96,101,188,,116,,
144,22220,"Shough, Tyler",NO,QB,149.37,88,203,,116,,
145,20329,"Spears, Tyjae",TEN,RB,149.96,116,179,,112,,
146,1996,"Rams, Los Angeles (LAR)",LA,TDSP,150.86,102,192,,116,,
147,20357,"Tucker, Tre",LV,WR,156.29,121,184,,114,,
148,19469,"Charbonnet, Zach",SEA,RB,156.66,115,198,,111,,
149,20279,"Bigsby, Tank",PHI,RB,157.84,100,197,,111,,
150,22074,"Harris, Tre'",LAC,WR,158.86,106,225,,112,,
151,19715,"Nailor, Jalen",LV,WR,160.01,105,212,,114,,
152,22099,"Sampson, Dylan",CLE,RB,160.23,108,189,,111,,
153,22959,"Lane, Ja'Kobi",BAL,WR,160.72,113,240,,113,,
154,19458,"Willis, Malik",MIA,QB,161.25,74,220,,115,,
155,22206,"Ferguson, Terrance",LA,TE,161.83,112,225,,111,,
156,21153,"McMillan, Jalen",TB,WR,162.11,54,247,,111,,
157,21183,"Tracy Jr., Tyrone",NYG,RB,162.29,110,307,,112,,
158,23165,"Allen, Cyrus",KC,WR,163.72,89,251,,111,,
159,20425,"Strange, Brenton",JAX,TE,164.25,112,229,,111,,
160,22939,"Johnson, Emmett",KC,RB,164.89,119,215,,111,,
161,1863,"Broncos, Denver",DEN,TDSP,165.66,112,203,,116,,
162,1989,"Seahawks, Seattle",SEA,TDSP,167.84,117,204,,116,,
163,20314,"Wicks, Dontayvion",PHI,WR,168.06,103,225,,113,,
164,19633,"Okonkwo, Chig",WAS,TE,171.32,124,213,,111,,
165,21129,"Mitchell, Adonai",NYJ,WR,171.91,111,220,,113,,
166,16077,"Darnold, Sam",SEA,QB,173.05,56,236,,111,,
167,23064,"Black, Kaelon",SF,RB,173.97,114,245,,111,,
168,21355,"Flournoy, Ryan",DAL,WR,174.03,121,243,,112,,
169,21154,"Washington, Malik",MIA,WR,174.14,103,222,,113,,
170,21151,"Davis, Ray",BUF,RB,175.22,136,231,,111,,
171,20326,"Boutte, Kayshon",HOU,WR,176.45,113,246,,112,,
172,19468,"Robinson, Brian",ATL,RB,176.80,131,229,,111,,
173,21132,"Allen, Braelon",NYJ,RB,178.16,113,233,,111,,
174,11857,"Allen, Keenan",IND,WR,180.26,101,262,,111,,
175,18033,"Jennings, Jauan",MIN,WR,182.27,110,247,,110,,
176,14968,"Henry, Hunter",NE,TE,182.47,133,237,,110,,
177,4345,"Texans, Houston",HOU,TK,182.47,123,227,,115,,
178,17008,"Jones, Daniel",IND,QB,182.93,107,238,,107,,
179,19486,"Pacheco, Isiah",DET,RB,183.87,124,276,,111,,
180,16255,"Schultz, Dalton",HOU,TE,184.10,134,232,,112,,
181,22115,"Bryant, Pat",DEN,WR,186.55,129,296,,111,,
182,23043,"Douglas, Caleb",MIA,WR,187.19,123,256,,112,,
183,1961,"Eagles, Philadelphia",PHI,TDSP,189.45,130,235,,116,,
184,22092,"Blue, Jaydon",DAL,RB,190.05,135,247,,109,,
185,1926,"Patriots, New England",NE,TDSP,190.07,139,226,,116,,
186,1898,"Jaguars, Jacksonville",JAX,TDSP,191.03,112,218,,116,,
187,21169,"Vidal, Kimani",LAC,RB,191.12,119,231,,111,,
188,22952,"Fields, Malachi",NYG,WR,191.84,125,259,,111,,
189,17964,"Jeudy, Jerry",CLE,WR,193.98,138,257,,112,,
190,2980,"Chargers, Los Angeles (LAC)",LAC,TK,194.99,130,242,,115,,
191,1975,"Chargers, Los Angeles (LAC)",LAC,TDSP,197.48,143,233,,116,,
192,22940,"Allen, Kaytron",WAS,RB,199.61,121,275,,110,,
193,15293,"Kamara, Alvin",NO,RB,199.93,137,293,,108,,
194,2982,"Seahawks, Seattle",SEA,TK,200.06,136,237,,115,,
195,1968,"Steelers, Pittsburgh",PIT,TDSP,201.38,155,239,,116,,
196,2969,"Jaguars, Jacksonville",JAX,TK,202.59,130,241,,115,,
197,22134,"TeSlaa, Isaac",DET,WR,205.12,158,267,,108,,
198,17014,"Hockenson, T.J.",MIN,TE,207.79,141,240,,97,,
199,1919,"Vikings, Minnesota",MIN,TDSP,209.32,146,238,,111,,
200,1807,"Ravens, Baltimore",BAL,TDSP,209.76,149,254,,113,,
201,20280,"Stroud, C.J.",HOU,QB,210.34,108,240,,77,,
202,21315,"Barner, AJ",SEA,TE,210.95,162,240,,103,,
203,22101,"Gadsden, Oronde",LAC,TE,211.02,124,278,,90,,
204,22944,"Claiborne, Demond",MIN,RB,212.46,146,296,,107,,
205,22943,"Singleton, Nicholas",TEN,RB,213.21,139,263,,107,,
206,22948,"Cooper Jr., Omar",NYJ,WR,213.81,141,289,,98,,
207,20323,"Dell, Tank",HOU,WR,214.96,119,331,,98,,
208,18826,"Harris, Najee",NYG,RB,215.66,139,352,,107,,
209,21709,"Holani, George",SEA,RB,215.88,131,296,,105,,
210,20310,"Ward, Cam",TEN,QB,217.37,113,237,,74,,
211,22935,"Sadiq, Kenyon",NYJ,TE,217.64,152,263,,92,,
212,22946,"Bell, Chris",MIA,WR,218.02,141,326,,107,,
213,22058,"Hunter, Travis",JAX,WR,219.91,111,287,,101,,
214,19477,"Dulcich, Greg",MIA,TE,221.57,157,239,,90,,
215,2983,"Rams, Los Angeles (LAR)",LA,TK,223.17,148,280,,113,,
216,2981,"49ers, San Francisco",SF,TK,225.82,148,269,,112,,
217,22951,"Branch, Zachariah",ATL,WR,226.53,166,280,,96,,
218,21357,"Vele, Devaughn",NO,WR,226.95,141,303,,100,,
219,2972,"Vikings, Minnesota",MIN,TK,228.66,150,281,,106,,
220,17020,"Hill, Justice",BAL,RB,231.16,150,283,,94,,
221,14802,"Brissett, Jacoby",ARZ,QB,231.52,132,255,,60,,
222,22097,"James, Jordan",SF,RB,231.74,163,307,,98,,
223,20285,"Tucker, Sean",TB,RB,231.86,115,328,,92,,
224,2966,"Lions, Detroit",DET,TK,235.01,151,275,,99,,
225,22956,"Williams, Antonio",WAS,WR,235.28,157,299,,84,,
226,22967,"Hurst III, Ted",TB,WR,236.82,164,313,,92,,
